,Local_Active,Local_New,Local_Incidence,FL_Active,FL_New,FL_Incidence,Test_Rate,Holidays,Beaches,Bars,Safer_At_Home,Restaurants,METier,Masks
0,22,2,4.824561403508772,991.0,70.78571428571429,4.6135940409683425,550.0,0,1,6,0,3,4,0
1,25,5,5.482456140350878,1133.0,218.0,5.274674115456238,555.0,0,1,7,0,4,4,0
2,25,1,5.482456140350878,1242.0,185.0,5.782122905027933,560.0,0,2,8,1,5,4,0
3,30,7,6.578947368421053,1430.0,265.0,6.657355679702048,565.0,0,2,9,1,6,4,0
4,36,8,7.894736842105264,2023.0,669.0,9.41806331471136,570.0,0,3,10,2,7,4,0
5,39,4,8.55263157894737,2484.0,537.0,11.564245810055866,580.0,0,3,11,2,8,4,0
6,46,9,10.087719298245615,3252.0,844.0,15.139664804469273,590.0,0,4,12,3,9,4,0
7,54,10,11.842105263157896,3656.0,481.0,17.02048417132216,600.0,0,4,13,3,10,4,0
8,66,14,14.473684210526317,4800.0,1220.0,22.3463687150838,610.0,0,4,14,4,11,4,0
9,86,21,18.85964912280702,5970.0,1246.0,27.793296089385475,620.0,0,4,14,4,12,4,0
10,84,0,18.42105263157895,6107.0,213.0,28.431098696461824,630.0,0,5,14,5,13,4,0
11,98,16,21.491228070175442,8005.0,1975.0,37.26722532588454,640.0,0,6,14,5,14,4,0
12,101,4,22.149122807017545,9183.0,1254.0,42.75139664804469,660.0,0,7,14,6,14,4,0
13,108,9,23.68421052631579,10351.0,1244.0,48.18901303538175,680.0,0,8,14,6,14,4,0
14,113,10,24.780701754385966,10920.0,787.0,50.83798882681564,700.0,0,9,14,7,14,4,1
15,119,7,26.096491228070178,11694.0,959.0,54.4413407821229,720.0,0,10,14,7,14,4,2
16,125,13,27.412280701754387,12603.0,1174.0,58.6731843575419,740.0,0,11,14,8,14,5,3
17,130,13,28.508771929824565,12819.0,885.0,59.678770949720665,760.0,0,12,14,8,14,5,4
18,130,4,28.508771929824565,13145.0,863.0,61.196461824953445,780.0,0,13,14,9,14,5,5
19,157,36,34.429824561403514,13432.0,1131.0,62.53258845437616,800.0,0,14,14,10,14,5,6
20,157,10,34.429824561403514,13866.0,915.0,64.55307262569832,830.0,0,14,14,11,14,6,7
21,159,16,34.86842105263158,14024.0,1378.0,65.28864059590316,860.7186513,0,14,14,12,14,6,8
22,144,6,31.578947368421055,13864.0,1086.0,64.5437616387337,924.0834592,0,14,14,13,14,6,9
23,146,2,32.01754385964912,14188.0,537.0,66.05214152700187,956.9244585000001,0,14,14,14,14,6,10
24,134,4,29.385964912280706,13071.0,858.0,60.851955307262564,1005.5713368391993,0,14,14,14,14,7,11
25,143,13,31.35964912280702,12577.0,760.0,58.55214152700186,1032.6005201622447,0,14,14,14,14,7,12
26,155,21,33.99122807017544,12692.0,1359.0,59.08752327746741,1106.020617535125,0,14,14,14,14,7,13
27,152,7,33.333333333333336,12615.0,710.0,58.729050279329606,1161.077448524218,0,13,14,14,14,7,14
28,154,9,33.771929824561404,12452.0,796.0,57.97020484171322,1206.0648608088898,0,13,14,14,14,8,14
29,143,2,31.35964912280702,11975.0,697.0,55.749534450651765,1253.8498571489529,0,12,14,14,14,8,14
30,132,2,28.947368421052634,11855.0,765.0,55.19087523277467,1304.8751528663038,0,12,14,14,14,8,14
31,134,6,29.385964912280706,11406.0,414.0,53.100558659217874,1359.3573958844242,0,11,14,14,14,8,14
32,103,5,22.587719298245617,11520.0,1245.0,53.63128491620112,1397.4167843551566,0,11,14,14,14,9,14
33,100,7,21.92982456140351,11431.0,826.0,53.216945996275605,1502.5852219930046,0,10,14,14,14,9,14
34,92,8,20.17543859649123,10350.0,297.0,48.18435754189944,1568.8088405163267,0,10,14,14,14,9,14
35,88,2,19.29824561403509,9937.0,673.0,46.26163873370577,1623.0367577112295,0,10,14,14,14,9,14
36,87,1,19.078947368421055,9993.0,593.0,46.522346368715084,1678.847146695041,0,10,14,14,14,10,14
37,87,4,19.078947368421055,9762.0,627.0,45.44692737430167,1727.8849332013226,0,10,14,14,14,10,14
38,77,3,16.885964912280702,9300.0,298.0,43.29608938547486,1759.030427070516,0,10,14,14,14,10,14
39,61,5,13.377192982456142,8388.0,447.0,39.050279329608934,1801.0271560636504,0,10,14,14,14,10,14
40,60,6,13.157894736842106,8670.0,992.0,40.36312849162011,1896.6065682187107,0,10,14,14,14,10,14
41,57,6,12.500000000000002,8559.0,685.0,39.8463687150838,1959.307303116725,0,10,14,14,14,10,14
42,63,8,13.815789473684212,8462.0,600.0,39.394785847299815,2016.6577762522413,0,10,14,14,14,10,14
43,63,2,13.815789473684212,8496.0,799.0,39.55307262569832,2092.39506445888,0,9,14,14,13,10,14
